build_wave,priority,domain_slug,domain_name,agent_slug,agent_name,status,validation_profile,readiness_state,issue_state
1,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,devsecops-specialist,DevSecOps specialist,planned,strict,not_ready,needs-spec
1,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,ci-cd-pipeline-specialist,CI/CD pipeline specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,full-stack-delivery-specialist,Full-stack delivery specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,secure-software-development-specialist,Secure software development specialist,planned,strict,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,application-modernization-specialist,Application modernization specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,quality-engineering-specialist,Quality engineering specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,release-engineering-specialist,Release engineering specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,developer-experience-specialist,Developer experience specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,integration-engineering-specialist,Integration engineering specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,low-code-and-workflow-automation-specialist,Low-code and workflow automation specialist,planned,standard,not_ready,needs-spec
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,mobile-application-engineering-specialist,Mobile application engineering specialist,planned,standard,not_ready,needs-spec
2,high,software-engineering-and-application-delivery,Software Engineering And Application Delivery,technical-documentation-specialist,Technical documentation specialist,market-ready,standard,market-ready,market-ready
2,medium,software-engineering-and-application-delivery,Software Engineering And Application Delivery,code-review-and-maintainability-specialist,Code review and maintainability specialist,planned,standard,not_ready,needs-spec
1,high,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,azure-architecture-specialist,Azure architecture specialist,planned,standard,not_ready,needs-spec
1,high,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,aws-architecture-specialist,AWS architecture specialist,planned,standard,not_ready,needs-spec
1,high,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,cloud-landing-zone-specialist,Cloud landing zone specialist,planned,standard,not_ready,needs-spec
1,high,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,cloud-operations-specialist,Cloud operations specialist,planned,standard,not_ready,needs-spec
1,high,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,kubernetes-and-container-platform-specialist,Kubernetes and container platform specialist,planned,standard,not_ready,needs-spec
1,high,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,infrastructure-as-code-specialist,Infrastructure as code specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,google-cloud-architecture-specialist,Google Cloud architecture specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,cloud-migration-specialist,Cloud migration specialist,market-ready,standard,market-ready,market-ready
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,platform-engineering-specialist,Platform engineering specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,site-reliability-engineering-specialist,Site reliability engineering specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,virtualization-specialist,Virtualization specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,compute-and-server-infrastructure-specialist,Compute and server infrastructure specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,storage-and-backup-specialist,Storage and backup specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,database-platform-operations-specialist,Database platform operations specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,hybrid-cloud-specialist,Hybrid cloud specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,observability-and-monitoring-specialist,Observability and monitoring specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,edge-and-remote-site-infrastructure-specialist,Edge and remote site infrastructure specialist,planned,standard,not_ready,needs-spec
2,medium,cloud-platform-and-infrastructure,Cloud Platform And Infrastructure,business-continuity-infrastructure-specialist,Business continuity infrastructure specialist,planned,standard,not_ready,needs-spec
1,high,networking-and-connectivity,Networking And Connectivity,enterprise-network-architecture-specialist,Enterprise network architecture specialist,planned,standard,not_ready,needs-spec
1,high,networking-and-connectivity,Networking And Connectivity,firewall-and-perimeter-specialist,Firewall and perimeter specialist,planned,standard,not_ready,needs-spec
1,high,networking-and-connectivity,Networking And Connectivity,network-troubleshooting-specialist,Network troubleshooting specialist,planned,standard,not_ready,needs-spec
2,medium,networking-and-connectivity,Networking And Connectivity,routing-and-switching-specialist,Routing and switching specialist,market-ready,standard,market-ready,market-ready
2,medium,networking-and-connectivity,Networking And Connectivity,wireless-networking-specialist,Wireless networking specialist,planned,standard,not_ready,needs-spec
2,medium,networking-and-connectivity,Networking And Connectivity,wan-and-sd-wan-specialist,WAN and SD-WAN specialist,planned,standard,not_ready,needs-spec
2,medium,networking-and-connectivity,Networking And Connectivity,vpn-and-remote-access-specialist,VPN and remote access specialist,planned,standard,not_ready,needs-spec
2,medium,networking-and-connectivity,Networking And Connectivity,dns-dhcp-and-ipam-specialist,DNS DHCP and IPAM specialist,planned,standard,not_ready,needs-spec
2,medium,networking-and-connectivity,Networking And Connectivity,load-balancing-and-application-delivery-specialist,Load balancing and application delivery specialist,planned,standard,not_ready,needs-spec
2,medium,networking-and-connectivity,Networking And Connectivity,network-monitoring-specialist,Network monitoring specialist,in_progress,standard,market-ready,market-ready
2,medium,networking-and-connectivity,Networking And Connectivity,voice-and-unified-communications-specialist,Voice and unified communications specialist,planned,standard,not_ready,needs-spec
2,medium,networking-and-connectivity,Networking And Connectivity,internet-edge-and-bgp-specialist,Internet edge and BGP specialist,planned,standard,not_ready,needs-spec
1,high,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,identity-architecture-specialist,Identity architecture specialist,planned,strict,not_ready,needs-spec
1,high,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,entra-id-and-cloud-identity-specialist,Entra ID and cloud identity specialist,planned,strict,not_ready,needs-spec
1,high,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,privileged-access-management-specialist,Privileged access management specialist,planned,strict,not_ready,needs-spec
1,high,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,endpoint-management-specialist,Endpoint management specialist,planned,standard,not_ready,needs-spec
1,high,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,microsoft-365-administration-specialist,Microsoft 365 administration specialist,planned,standard,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,active-directory-specialist,Active Directory specialist,planned,strict,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,access-governance-specialist,Access governance specialist,planned,strict,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,windows-platform-specialist,Windows platform specialist,planned,standard,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,macos-platform-specialist,macOS platform specialist,planned,standard,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,linux-workstation-specialist,Linux workstation specialist,planned,standard,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,mobile-device-management-specialist,Mobile device management specialist,planned,standard,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,collaboration-platform-specialist,Collaboration platform specialist,planned,standard,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,email-administration-specialist,Email administration specialist,planned,standard,not_ready,needs-spec
2,medium,identity-endpoint-and-workplace-technology,Identity Endpoint And Workplace Technology,digital-workplace-experience-specialist,Digital workplace experience specialist,planned,standard,not_ready,needs-spec
1,high,data-analytics-and-ai,Data Analytics And AI,data-architecture-specialist,Data architecture specialist,planned,standard,not_ready,needs-spec
1,high,data-analytics-and-ai,Data Analytics And AI,data-engineering-specialist,Data engineering specialist,planned,standard,not_ready,needs-spec
1,high,data-analytics-and-ai,Data Analytics And AI,business-intelligence-specialist,Business intelligence specialist,planned,standard,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,data-warehousing-specialist,Data warehousing specialist,market-ready,standard,market-ready,market-ready
2,medium,data-analytics-and-ai,Data Analytics And AI,database-administration-specialist,Database administration specialist,planned,standard,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,reporting-and-dashboard-specialist,Reporting and dashboard specialist,planned,standard,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,data-governance-specialist,Data governance specialist,planned,standard,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,data-quality-specialist,Data quality specialist,market-ready,standard,market-ready,market-ready
2,medium,data-analytics-and-ai,Data Analytics And AI,master-data-management-specialist,Master data management specialist,planned,standard,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,data-integration-specialist,Data integration specialist,planned,standard,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,machine-learning-operations-specialist,Machine learning operations specialist,planned,standard,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,applied-ai-solution-specialist,Applied AI solution specialist,market-ready,standard,market-ready,market-ready
2,medium,data-analytics-and-ai,Data Analytics And AI,ai-governance-specialist,AI governance specialist,planned,strict,not_ready,needs-spec
2,medium,data-analytics-and-ai,Data Analytics And AI,knowledge-and-retrieval-systems-specialist,Knowledge and retrieval systems specialist,planned,standard,not_ready,needs-spec
1,high,it-service-management-and-support,IT Service Management And Support,service-desk-operations-specialist,Service desk operations specialist,market-ready,standard,market-ready,market-ready
1,high,it-service-management-and-support,IT Service Management And Support,incident-management-specialist,Incident management specialist,market-ready,standard,market-ready,market-ready
1,high,it-service-management-and-support,IT Service Management And Support,change-enablement-specialist,Change enablement specialist,market-ready,standard,market-ready,market-ready
1,high,it-service-management-and-support,IT Service Management And Support,asset-and-configuration-management-specialist,Asset and configuration management specialist,planned,standard,not_ready,needs-spec
1,high,it-service-management-and-support,IT Service Management And Support,knowledge-management-specialist,Knowledge management specialist,planned,standard,not_ready,needs-spec
2,medium,it-service-management-and-support,IT Service Management And Support,problem-management-specialist,Problem management specialist,market-ready,standard,market-ready,market-ready
2,medium,it-service-management-and-support,IT Service Management And Support,request-fulfillment-specialist,Request fulfillment specialist,planned,standard,not_ready,needs-spec
2,medium,it-service-management-and-support,IT Service Management And Support,service-catalog-specialist,Service catalog specialist,planned,standard,not_ready,needs-spec
2,medium,it-service-management-and-support,IT Service Management And Support,service-level-management-specialist,Service level management specialist,planned,standard,not_ready,needs-spec
2,medium,it-service-management-and-support,IT Service Management And Support,cmdb-specialist,CMDB specialist,planned,standard,not_ready,needs-spec
2,medium,it-service-management-and-support,IT Service Management And Support,monitoring-and-event-management-specialist,Monitoring and event management specialist,planned,standard,not_ready,needs-spec
2,medium,it-service-management-and-support,IT Service Management And Support,major-incident-and-escalation-specialist,Major incident and escalation specialist,market-ready,standard,market-ready,market-ready
2,medium,it-service-management-and-support,IT Service Management And Support,end-user-support-specialist,End-user support specialist,planned,standard,not_ready,needs-spec
2,medium,it-service-management-and-support,IT Service Management And Support,field-services-specialist,Field services specialist,planned,standard,not_ready,needs-spec
1,high,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,it-governance-specialist,IT governance specialist,planned,standard,not_ready,needs-spec
1,high,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,it-audit-readiness-specialist,IT audit readiness specialist,planned,standard,not_ready,needs-spec
1,high,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,software-licensing-specialist,Software licensing specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,policy-and-standards-specialist,Policy and standards specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,controls-testing-specialist,Controls testing specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,vendor-management-specialist,Vendor management specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,software-asset-management-specialist,Software asset management specialist,market-ready,standard,market-ready,market-ready
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,hardware-asset-management-specialist,Hardware asset management specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,finops-specialist,FinOps specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,procurement-and-technology-sourcing-specialist,Procurement and technology sourcing specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,business-case-and-portfolio-specialist,Business case and portfolio specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,enterprise-architecture-governance-specialist,Enterprise architecture governance specialist,market-ready,standard,market-ready,market-ready
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,records-retention-specialist,Records retention specialist,planned,standard,not_ready,needs-spec
2,medium,governance-risk-compliance-and-commercial-control,Governance Risk Compliance And Commercial Control,legal-privacy-and-contract-coordination-specialist,Legal privacy and contract coordination specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,erp-platform-specialist,ERP platform specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,crm-platform-specialist,CRM platform specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,hris-platform-specialist,HRIS platform specialist,planned,standard,not_ready,needs-spec
1,high,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,itsm-platform-specialist,ITSM platform specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,identity-platform-integration-specialist,Identity platform integration specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,collaboration-workflow-specialist,Collaboration workflow specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,business-process-automation-specialist,Business process automation specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,reporting-platform-specialist,Reporting platform specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,document-management-specialist,Document management specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,e-commerce-platform-specialist,E-commerce platform specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,saas-administration-specialist,SaaS administration specialist,planned,standard,not_ready,needs-spec
2,medium,business-applications-and-enterprise-platforms,Business Applications And Enterprise Platforms,enterprise-application-integration-specialist,Enterprise application integration specialist,planned,standard,not_ready,needs-spec
1,high,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,legacy-modernization-planning-specialist,Legacy modernization planning specialist,planned,standard,not_ready,needs-spec
1,high,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,scripting-and-task-automation-specialist,Scripting and task automation specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,cobol-and-mainframe-specialist,COBOL and mainframe specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,batch-operations-specialist,Batch operations specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,job-scheduling-specialist,Job scheduling specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,file-transfer-and-edi-specialist,File transfer and EDI specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,middleware-integration-specialist,Middleware integration specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,api-and-event-integration-specialist,API and event integration specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,rpa-specialist,RPA specialist,planned,standard,not_ready,needs-spec
2,medium,legacy-systems-automation-and-integration,Legacy Systems Automation And Integration,migration-factory-specialist,Migration factory specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,saas-packaging-specialist,SaaS packaging specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,subscription-and-entitlement-specialist,Subscription and entitlement specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,pricing-and-packaging-strategy-specialist,Pricing and packaging strategy specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,licensing-protection-specialist,Licensing protection specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,product-compliance-specialist,Product compliance specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,customer-onboarding-specialist,Customer onboarding specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,customer-success-operations-specialist,Customer success operations specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,marketing-website-best-practice-specialist,Marketing website best-practice specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,technical-presales-specialist,Technical presales specialist,planned,standard,not_ready,needs-spec
2,medium,productization-saas-readiness-and-market-delivery,Productization SaaS Readiness And Market Delivery,product-documentation-and-enablement-specialist,Product documentation and enablement specialist,planned,standard,not_ready,needs-spec
2,high,platform-meta-agents,Platform Meta Agents,readiness-and-evidence-specialist,Readiness and evidence specialist,planned,standard,not_ready,needs-spec
2,high,platform-meta-agents,Platform Meta Agents,spec-validation-and-refinement-specialist,Spec validation and refinement specialist,planned,strict,not_ready,needs-spec
2,high,platform-meta-agents,Platform Meta Agents,continuous-improvement-orchestrator,Continuous improvement orchestrator,planned,strict,not_ready,needs-spec
2,high,platform-meta-agents,Platform Meta Agents,autonomous-improvement-system,Autonomous improvement system,planned,strict,not_ready,needs-spec
2,high,mother-board-specialists,Mother-Board Specialists,general-ledger-and-close-specialist,General ledger and close specialist,market-ready,standard,market-ready,market-ready
2,high,mother-board-specialists,Mother-Board Specialists,support-tooling-specialist,Support tooling specialist,market-ready,standard,market-ready,market-ready
1,high,platform-meta-agents,Platform Meta Agents,dispatch-and-orchestration-specialist,Dispatch and orchestration specialist,deployable,standard,deployable,deployable
2,high,mother-board-specialists,Mother-Board Specialists,nonprofit-fundraising-strategy-specialist,Nonprofit Fundraising Strategy Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,donor-stewardship-and-recurring-giving-specialist,Donor Stewardship And Recurring Giving Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,nonprofit-in-kind-partnerships-specialist,Nonprofit In-kind Partnerships Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,nonprofit-social-approval-coordination-specialist,Nonprofit Social Approval Coordination Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,nonprofit-loan-and-board-resolution-coordination-specialist,Nonprofit Loan And Board Resolution Coordination Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,nonprofit-property-disposition-coordination-specialist,Nonprofit Property Disposition Coordination Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,google-workspace-and-nonprofit-program-specialist,Google Workspace And Nonprofit Program Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,azure-nonprofit-web-operations-specialist,Azure Nonprofit Web Operations Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,grant-opportunity-research-specialist,Grant Opportunity Research Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,grant-writing-and-narrative-specialist,Grant Writing And Narrative Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,grant-compliance-and-reporting-specialist,Grant Compliance And Reporting Specialist,in_progress,standard,in_progress,implemented-for-test
2,high,mother-board-specialists,Mother-Board Specialists,foundation-and-corporate-giving-specialist,Foundation And Corporate Giving Specialist,in_progress,standard,in_progress,implemented-for-test
